Period	Date observed	Latitude	Longitude	Environment	Urban	Rural	Suburban	Village_small_town	Surface cover under tree	grass_tree	undergrowth_tree	bare_soil_tree	litter_tree	artificial_tree	Surface cover in open	Grass_open	undergrowth_open	bare_soil_open	litter_open	artificial_open	surface_tree_cover	Distance to artificial light source (m)	0-5_light	5-10_light	10-20_light	20+light	Standing	Alone	Species	Approx distance to coast (km)	Dist. from thermometer under tree to edge of canopy (m)	Dist. from thermometer in open either to edge of the canopy of nearest tree or to nearest building (m)	Percentage canopy cover	Canopy index	T max open	T min open	T max canopy	T min canopy	T max open - T max canopy	T min open- T min canopy	Tmax_open-Tmin_open	Tmax_canopy-Tmin_canopy	D = (Tmax open - T min open) - (T max canopy - T min canopy)	Canopy_index_2	Ruralfactor	20+lightfactor
1	10/9/2016	49.740772	8.973695	rural	0	1	0	0	undergrowth	0	1	0	0	0	bare soil	0	0	1	0	0	undergrowth_bare soil	20+	0	0	0	1	with others	0	Quercus petraea	430	5.5	22.6	71-80	75	10.8	3	10.8	3	0	0	7.8	7.8	0	5625	rural	20+light
1	10/8/2016	50.0011564	-5.1863759	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	other deciduous tree	1.16	3	8	81-90	85	21.1	9.4	16.8	10.8	4.3	-1.4	11.7	6	5.7	7225	rural	20+light
1	10/20/2016	52.325133	4.820954	rural	0	1	0	0	bare soil	0	0	1	0	0	grass	1	0	0	0	0	bare soil_grass	20+	0	0	0	1	with others	0	Quercus robur	22.07	10	15	81-90	85	16	1.3	14	7.7	2	-6.4	14.7	6.3	8.4	7225	rural	20+light
1	10/12/2016	53.404634	-2.545725	suburban	0	0	1	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	35	5	18	81-90	85	22.1	5.7	14.3	9.8	7.8	-4.1	16.4	4.5	11.9	7225	nrural	20+light
1	05/10/2016	50.1524226	-5.0998343	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	Quercus robur	2	3	30	91-100	95	18.1	9.5	17.8	12	0.3	-2.5	8.6	5.8	2.8	9025	rural	20+light
1	10/28/2016	56.21858	-3.184709	village or small town	0	0	0	1	undergrowth	0	1	0	0	0	undergrowth	0	1	0	0	0	undergrowth_undergrowth	20+	0	0	0	1	with others	0	Quercus petraea	10	9	13	51-60	55	13.5	3.1	18	4.7	-4.5	-1.6	10.4	13.3	-2.9	3025	nrural	20+light
1	10/10/2016	37.877953	-0.765953	rural	0	1	0	0	undergrowth	0	1	0	0	0	undergrowth	0	1	0	0	0	undergrowth_undergrowth	20+	0	0	0	1	alone	1	other oak	20	4	10	81-90	85	26.1	13.1	24.9	14.5	1.2	-1.4	13	10.4	2.6	7225	rural	20+light
1	10/17/2016	53.758297	-2.492868	urban	1	0	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	10-20	0	0	1	0	with others	0	Quercus robur	34	1.5	7	71-80	75	18.2	6.7	17.8	9.1	0.4	-2.4	11.5	8.7	2.8	5625	nrural	n20+light
1	10/13/2016	51.433862	-0.028024	urban	1	0	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	5-10	0	1	0	0	with others	0	Quercus robur	72	4	10	71-80	75	14.5	6.4	14	9	0.5	-2.6	8.1	5	3.1	5625	nrural	n20+light
1	10/11/2016	53.001284	-1.1054223	rural	0	1	0	0	bare soil	0	0	1	0	0	grass	1	0	0	0	0	bare soil_grass	20+	0	0	0	1	with others	0	Quercus robur	65	11	30	81-90	85	16.7	9.6	18	9.7	-1.3	-0.1	7.1	8.3	-1.2	7225	rural	20+light
